Symbol;ISIN;Code;Name
C9530T;CH0022645250;CH0022645250;SWX SR SFT&CSERV TR
C9533P;CH0022632175;CH0022632175;SWX SB COMPSERV PR
C9533T;CH0022632142;CH0022632142;SWX SB COMPSERV TR
C9535P;CH0022632217;CH0022632217;SWX SB INTERNET PR
C9535T;CH0022632191;CH0022632191;SWX SB INTERNET TR
C9537P;CH0022632381;CH0022632381;SWX SB SOFTWARE PR
C9537T;CH0022632282;CH0022632282;SWX SB SOFTWARE TR
C9570P;CH0022645334;CH0022645334;SWX SR TECHH&EQP PR
C9570T;CH0022645318;CH0022645318;SWX SR TECHH&EQP TR
C9572P;CH0022632480;CH0022632480;SWX SB COMPHWARE PR
C9572T;CH0022632464;CH0022632464;SWX SB COMPHWARE TR
C9574P;CH0022632563;CH0022632563;SWX SB ELOFFICEP PR
C9574T;CH0022632514;CH0022632514;SWX SB ELOFFICEP TR
C9576P;CH0022632662;CH0022632662;SWX SB SEMICOND PR
C9576T;CH0022632605;CH0022632605;SWX SB SEMICOND TR
C9578P;CH0022632720;CH0022632720;SWX SB TELECOMEP PR
C9578T;CH0022632688;CH0022632688;SWX SB TELECOMEP TR
CADN;ARP290071876;ARP290071876CHF4;CADELPLATA N
CALN;CH0009018133;CH0009018133CHF4;CALIDA N
CANN;CH0002233275;CH0002233275CHF4;CANON N
CARDG;CH0012815459;CH0012815459CHF4;CARD GUARD N
CASN;CH0005092751;CH0005092751CHF4;CASTLE ALT N
CAT;US1491231015;US1491231015CHF4;CATERPILLAR
CFR;CH0012731458;CH0012731458CHF1;RICHEMONT
CFT;CH0014345117;CH0014345117CHF4;CIE FIN TR I
CIBN;CH0005819724;CH0005819724CHF1;CIBA N
CICN;CH0008702190;CH0008702190CHF4;CICOR TECH N
CIE;CH0001625810;CH0001625810CHF4;CI COM SA
CKWN;CH0020603475;CH0020603475CHF4;CKW N
CL;US1941621039;US1941621039CHF4;COLGATE
CLN;CH0012142631;CH0012142631CHF1;CLARIANT N
CLTN;CH0025343259;CH0025343259CHF4;COLTENE N
CLXN;CH0011115703;CH0011115703CHF4;CREALOGIX N
COC;US20825C1045;US20825C1045CHF4;CONOCOPHILLIPS
COM;DE0008032004;DE0008032004CHF4;COMMERZBANK I
COPN;IT0004167463;IT0004167463CHF4;COSMO N
COTN;CH0003825756;CH0003825756CHF4;COMET N
CPB;US1344291091;US1344291091CHF4;CAMPBELL
CPE;CH0005978165;CH0005978165CHF4;CASTLE PRIVATE I
CPHN;CH0001624714;CH0001624714CHF4;CPH N
CRB;FR0010318998;FR0010318998USD4;LYXOR COMMODITIES CRB
CRE;CH0004422975;CH0004422975USD4;CREINVEST I
CRX;NL0000358562;NL0000358562CHF4;CRUCELL I
CSCO;US17275R1023;US17275R1023CHF4;CISCO SYSTEMS INC
CSGN;CH0012138530;CH0012138530CHF1;CS GROUP N
CSGNE;CH0021119745;CH0021119745CHF1;CS GROUP N 2.LINIE
CSLP;CH0031069328;CH0031069328CHF4;CS REF LIVING PLUS
CSS;CH0002013826;CH0002013826CHF4;COS I
CVX;US1667641005;US1667641005CHF4;CHEVRON CORP
CYTN;CH0011025217;CH0011025217CHF4;CYTOS N
CZH;CH0002657986;CH0002657986CHF4;Conzzeta AG
DAE;CH0030486770;CH0030486770CHF4;DAETWYLER I
DAI;DE0007100000;DE0007100000CHF4;DAIMLER N
DAN;FR0000120644;FR0000120644CHF4;DANONE GRP
DAYN;CH0010474218;CH0010474218CHF4;DAY N
DBN;DE0005140008;DE0005140008CHF4;DT BANK N
DD;US2635341090;US2635341090CHF4;DU PONT
DELL;US24702R1014;US24702R1014CHF4;DELL INC
DESN;CH0020739006;CH0020739006CHF4;DOTTIKON ES N
DJE;FR0007056841;FR0007056841EUR4;LYXOR DJ INDUSTRIAL
DJMC;IE00B02KXL92;IE00B02KXL92CHF4;ISHARES DJ EUMICAP
DJSC;IE00B02KXM00;IE00B02KXM00CHF4;ISHARES EUR SM CAP
DJSXE;DE0005933956;DE0005933956EUR4;ISHARES DJ EURO STOXX 50 (DE)
DJSXP;DE0005933949;DE0005933949EUR4;ISHARES DJ STOXX 50 (DE)
DNA;US3687104063;US3687104063CHF4;GENENTECH INC
DOW;US2605431038;US2605431038CHF4;DOW CHEM
DREF;CH0021588014;CH0021588014CHF4;DREF
DSM;NL0000009827;NL0000009827CHF4;KONINKLIJKE DSM N.V., HEERLEN
DTE;DE0005557508;DE0005557508CHF4;DEUTSCHE TELEKOM AG
DUFN;CH0023405456;CH0023405456CHF4;DUFRY N
EAUG;FR0000127771;FR0000127771CHF4;VIVENDI
EBAY;US2786421030;US2786421030CHF4;EBAY INC
EDHN;CH0039651184;CH0039651184CHF4;ENERGIEDIENST N
EDI;CH0003322598;CH0003322598CHF4;EDIPRESSE I
EDIN;CH0003322606;CH0003322606CHF4;EDIPRESSE N
EFGN;CH0022268228;CH0022268228CHF4;EFG INTERNATIONAL N
EGL;CH0003288229;CH0003288229CHF4;EG LAUFENBURG I
EIC;CH0007162958;CH0007162958CHF4;EIC I
EIN;CH0008531045;CH0008531045CHF4;EICHHOF N
EINE;CH0039611881;CH0039611881CHF4;EICHHOF N 2. LINIE
ELMN;CH0005319162;CH0005319162CHF4;ELMA ELECTRONIC N
EMMN;CH0012829898;CH0012829898CHF4;EMMI N
EMSN;CH0016440353;CH0016440353CHF1;EMS-CHEMIE N
EMV;FR0010168781;FR0010168781EUR4;LYXOR MSCI VALUE
EOA;DE0007614406;DE0007614406CHF4;E.ON AG
EPH;VGG290991014;VGG290991014USD4;EASTERN PROP HLD
EQQQ;IE0032077012;IE0032077012USD4;POWERSHARE EQQQ
ERI;SE0000108656;SE0000108656CHF4;ERICSSON LM-B
ESMN;CH0019624805;CH0019624805CHF4;ESMERTEC N
ESRI;CH0003583256;CH0003583256CHF4;ESCOR I N10
ETI;FR0010378570;FR0010378570USD4;EASYETF DJ ISLAMIC MT100
EUN;IE0008470928;IE0008470928CHF4;iSHARES DJ STOXX 50
EUNE;IE0008471009;IE0008471009CHF4;iSHARES DJ EUSTOXX50
F;US3453708600;US3453708600CHF4;FORD N
FDGETI;LU0147308422;LU0147308422EUR4;UBS-ETF MSCI EMU
FDJPHU;LU0136240974;LU0136240974CHF4;UBS-ETF MSCI JAPAN
FDUSIA;LU0136234654;LU0136234654CHF4;UBS-ETF MSCI USA
FFI;VGG3637V1094;VGG3637V1094CHF4;FORMULAFIRST I
FI-N;CH0001752309;CH0001752309CHF4;FISCHER N
FIR;CH0014586710;CH0014586710CHF4;FIR
FL;US3448491049;US3448491049CHF4;FOOT LOCKER
FOC;CH0002782263;CH0002782263CHF4;LA FONCIERE
FONC;CH0014420852;CH0014420852CHF4;UBS FONCIPARS
FOR;BE0003801181;BE0003801181CHF4;FORTIS
FORN;CH0003541510;CH0003541510CHF4;FORBO N
FORNE;CH0038372709;CH0038372709CHF4;FORBO N 2. LINIE
FPE;DE0005790406;DE0005790406CHF4;FUCHS PET ST
FPEV;DE0005790430;DE0005790430CHF4;FUCHS PET VZ
FRE;LU0155367302;LU0155367302EUR4;UBS-ETF EUSTOXX50 I
FRESMI;CH0017142719;CH0017142719CHF4;UBS-ETF SMI
FSEUFI;LU0136234068;LU0136234068EUR4;UBS-ETF EUSTOXX50
FTE;FR0000133308;FR0000133308CHF4;FRANCE TELECOM SA
FTON;CH0009320091;CH0009320091CHF4;FEINTOOL N
FUJ;CH0007618389;CH0007618389CHF4;FUJITSU CT-CH
FXC;IE00B02KXK85;IE00B02KXK85USD4;ISHARES FTSE XINHUA
GALN;CH0015536466;CH0015536466CHF4;GALENICA N
GAV;CH0011003594;CH0011003594CHF4;GAVAZZI I
GBMN;CH0004870942;CH0004870942CHF4;GOLDBACH MEDIA AG N
GE;US3696041033;US3696041033CHF4;GEN ELEC
GEBN;CH0030170408;CH0030170408CHF1;GEBERIT N
GEBNE;CH0038761075;CH0038761075CHF1;GEBERIT N 2. LINIE
GFMN;GG00B247Y973;GG00B247Y973CHF4;GOTTEX FUND N
GIVN;CH0010645932;CH0010645932CHF1;GIVAUDAN N
GM;US3704421052;US3704421052CHF4;GEN MOTORS
GMI;CH0012949464;CH0012949464CHF4;GMSA N
GNRI;CH0012703119;CH0012703119CHF4;Global Natural Resources
GOB;FR0000125007;FR0000125007CHF4;SAINT GOBAIN I
GOL;CH0001831830;CH0001831830CHF4;GOLAY-BUCHEL
GOLI;ZAE000018123;ZAE000018123CHF4;GOLD FI LI
GOLP;CH0001831863;CH0001831863CHF4;GOLAY-BUCHEL PS
GOOG;US38259P5089;US38259P5089CHF4;GOOGLE INC A
GRKP;CH0001340204;CH0001340204CHF4;GRAUB KB PS
GRO;CH0003471668;CH0003471668CHF4;GRO I
GSCID;LU0203243844;LU0203243844USD4;"EASYETF S&amp;P USD"
GT;US3825501014;US3825501014CHF4;GOODYEAR
GUR;CH0008012236;CH0008012236CHF4;GURIT I
GWT;FR0010168765;FR0010168765EUR4;LYXOR MSCI GROWTH
HAL;US4062161017;US4062161017CHF4;HALLIBURTON
HAM;ZAE000015228;ZAE000015228CHF4;HARMONY GOLD MIN
HAR;CH0001609848;CH0001609848CHF4;HARWANNE -B- I
HBLN;CH0001341608;CH0001341608CHF4;HYPO LENZB N
HBMN;CH0012627250;CH0012627250CHF4;HBM N
HEIN;NL0000009165;NL0000009165CHF4;HEINEKEN
HELN;CH0012271687;CH0012271687CHF4;HELVETIA HOLDING N
HEXN;SE0000103699;SE0000103699CHF4;HEXAGON AB
HIEN;CH0007186981;CH0007186981CHF4;HIESTAND N
HIT;CH0010892344;CH0010892344CHF4;MACH HITECH I
HM;SE0000106270;SE0000106270CHF4;"HENNES &amp; MAURITZ AB"
HOLN;CH0012214059;CH0012214059CHF1;HOLCIM N
HOND;JP3854600008;JP3854600008CHF4;HONDA MOTOR CO
HREN;CH0025607331;CH0025607331CHF4;ROMANDE ENERGIE N
HUBN;CH0030380734;CH0030380734CHF4;HUBER+SUHNER N
HUE;CH0004647951;CH0004647951CHF4;HUEGLI I
HUN;ANN4327C1220;ANN4327C1220CHF4;HUNTER DOUGLAS
IAPD;IE00B14X4T88;IE00B14X4T88USD4;ISHARES DJ ASIA/PACIFIC SELDIV
IASP;IE00B1FZS244;IE00B1FZS244USD4;ISHARES FTSE ASIA PROP
IBCI;IE00B0M62X26;IE00B0M62X26CHF4;ISHARES EUR INF LIN
IBCX;IE0032523478;IE0032523478CHF4;ISHARES EUR CORP
IBGL;IE00B1FZS913;IE00B1FZS913CHF4;ISHARES EURO GVMT BND 15-30
IBGM;IE00B1FZS806;IE00B1FZS806CHF4;ISHARES EURO GVMT BND 7-10
IBGS;IE00B14X4Q57;IE00B14X4Q57CHF4;ISHARES EURO GOVERNMENT BOND 1
IBGX;IE00B1FZS681;IE00B1FZS681CHF4;ISHARES EURO GVMT BND 3-5
IBM;US4592001014;US4592001014CHF4;IBM
IBTM;IE00B1FZS798;IE00B1FZS798USD4;ISHARES $ TRSRY BND 7-10
IBTS;IE00B14X4S71;IE00B14X4S71USD4;ISHARES $ TREASURY BOND 1-3
IBZL;IE00B0M63516;IE00B0M63516USD4;ISHARES MSCI BRAZIL
IDJG;IE00B0M62V02;IE00B0M62V02CHF4;ISHARES DJ EUR GRW
IDJV;IE00B0M62T89;IE00B0M62T89CHF4;ISHARES DJ EUR VAL
IDVY;IE00B0M62S72;IE00B0M62S72CHF4;ISHARES DJ EURO DVD
IEEM;IE00B0M63177;IE00B0M63177USD4;ISHARES MSCI EMG
IEER;IE00B0M63953;IE00B0M63953USD4;ISHARES MSCI EST EU
IEUR;IE0004855221;IE0004855221CHF4;iSHARES FTSEUROFIRST 80
IEUT;IE0030974079;IE0030974079CHF4;iSHARES FTSEUROFIRST 100
IEUX;IE00B14X4N27;IE00B14X4N27CHF4;ISHARES MSCI EUROPE EX-UK
IFCN;CH0011029946;CH0011029946CHF4;INFICON N
IFFF;IE00B0M63730;IE00B0M63730USD4;ISHARES MSCI FE JP
IFX;DE0006231004;DE0006231004CHF4;INFINEON TECH
IGSP;CH0009110583;CH0009110583;Investm. Index ohne Div.-Korr.
IGSTR;CH0009110757;CH0009110757;Investment. Index mit Div.-Kor
IH2O;IE00B1TXK627;IE00B1TXK627USD4;ISHARES GLOBAL WATER
IHSN;CH0000140787;CH0000140787CHF4;INTERSPORT N
IJPN;IE00B02KXH56;IE00B02KXH56JPY4;ISHARES MSCI JAP FD
IKOR;IE00B0M63391;IE00B0M63391USD4;ISHARES MSCI KOREA
IM;CH0009778769;CH0009778769CHF4;IMMOFONDS
IMEU;IE00B1YZSC51;IE00B1YZSC51CHF4;ISHARES MSCI EUROPE
IMPN;CH0023868554;CH0023868554CHF4;IMPLENIA N
IMZ;CA4598751002;CA4598751002CHF4;INTL MINERALS N
INAA;IE00B14X4M10;IE00B14X4M10USD4;ISHARES MSCI NORTH AMERICA
INDN;CH0001931853;CH0001931853CHF4;INDUSTRIE N
INFR;IE00B1FZS467;IE00B1FZS467USD4;ISHARES FTSE GLOBAL INFRS100
ING;NL0000303600;NL0000303600CHF4;ING
INI;CH0007249102;CH0007249102CHF4;INFRANOR I
INRG;IE00B1XNHC34;IE00B1XNHC34USD4;"ISHARES S&amp;P CLEAN ENERGY"
INRN;CH0006372897;CH0006372897CHF4;INTERROLL N
INT;CH0002769351;CH0002769351CHF4;CS REF INTERSWISS
INTC;US4581401001;US4581401001CHF4;INTEL
INVN;US46122L1098;US46122L1098CHF4;INVENDA CORP
IP;US4601461035;US4601461035CHF4;INT PAPER
IPRP;IE00B0M63284;IE00B0M63284CHF4;ISHARES FTSE/EPRA
IPRV;IE00B1TXHL60;IE00B1TXHL60USD4;"ISHARES S&amp;P PRIVATE EQUITY"
IS;CH0017313948;CH0017313948CHF4;INTERSHOP I
ITKY;IE00B1FZS574;IE00B1FZS574USD4;ISHARES MSCI TURKEY
ITPS;IE00B1FZSC47;IE00B1FZSC47USD4;ISHARES $ TIPS
ITWN;IE00B0M63623;IE00B0M63623USD4;ISHARES MSCI TAIWAN
IUKD;IE00B0M63060;IE00B0M63060CHF4;ISHARES FTSE UK DVD
IUKP;IE00B1TXLS18;IE00B1TXLS18CHF4;ISHARES FTSE UK PROP
IUSA;IE0031442068;IE0031442068USD4;"ISHARES S&amp;P 500"
IUSP;IE00B1FZSF77;IE00B1FZSF77USD4;ISHARES FTSE US PROP
IWDP;IE00B1FZS350;IE00B1FZS350USD4;ISHARES FTSE GLOBAL PROP
IWRD;IE00B0M62Q58;IE00B0M62Q58USD4;ISHARES MSCI WORLD
JAVA;US8668102036;US8668102036CHF4;SUN MICROSYSTEMS
JEL;CH0000668464;CH0000668464CHF4;JELMOLI I
JELN;CH0000668472;CH0000668472CHF4;JELMOLI N
JFN;CH0017875789;CH0017875789CHF4;JUNGFRAUBAHN HLD N
JNJ;US4781601046;US4781601046CHF4;"JOHNSON &amp; JOHNSON"
KABN;CH0011795959;CH0011795959CHF4;KABA N
KAR;CH0018263415;CH0018263415CHF4;KARDEX I
KNIN;CH0025238863;CH0025238863CHF1;"KUEHNE&amp;NAGEL INT N"
KO;US1912161007;US1912161007CHF4;COCA COLA
KOMN;CH0010702154;CH0010702154CHF4;KOMAX N
KPN;NL0000009082;NL0000009082CHF4;KONINKLIJKE KPN
KUD;CH0012268360;CH0012268360CHF1;KUDELSKI I
KUNN;CH0003504856;CH0003504856CHF4;KUONI N
LBBN;CH0023497271;CH0023497271CHF4;LENZERHEIDE N
LECN;CH0016271550;CH0016271550CHF4;LECLANCHE N
LEHN;CH0022427626;CH0022427626CHF4;LEM N
LIN;DE0006483001;DE0006483001CHF4;LINDE I
LINN;CH0001307757;CH0001307757CHF4;BK LINTH N
LISN;CH0010570759;CH0010570759CHF4;LINDT N
LISP;CH0010570767;CH0010570767CHF4;LINDT PS
LLB;LI0030195247;LI0030195247CHF4;LIECHT LANDBK I
LLY;US5324571083;US5324571083CHF4;LILLY ELI
LOEP;CH0002045497;CH0002045497CHF4;LOEB PS
LOGN;CH0025751329;CH0025751329CHF1;LOGITECH N
LOHN;CH0026205861;CH0026205861CHF4;Looser Holding AG
LONN;CH0013841017;CH0013841017CHF1;LONZA N
LOUN;CH0001639159;CH0001639159CHF4;LO HLD OUC N
LQDE;IE0032895942;IE0032895942USD4;ISHARES $ CORP BND
LUKN;CH0011693600;CH0011693600CHF4;LUZERNER KB N
LVMH;FR0000121014;FR0000121014CHF4;LVMH MOET HENNESY
LYBWE;FR0010389205;FR0010389205EUR4;LYXOR ETF BUYWRITE
LYCEC;FR0010204073;FR0010204073EUR4;LYXOR EASTERN EUROPE
LYCRN;FR0010358887;FR0010358887USD4;LYXOR COMM NON-E
LYDAX;LU0252633754;LU0252633754EUR4;LYXOR DAX
LYINR;FR0010375766;FR0010375766USD4;LYXOR MSCI INDIA
LYJPN;FR0010377028;FR0010377028JPY4;LYXOR JAPAN TOPIX
LYMEU;FR0010261198;FR0010261198EUR4;LYXOR MSCI EUROPE
LYPVX;FR0010407197;FR0010407197EUR4;LYXOR PRIVEX
LYRIO;FR0010413294;FR0010413294USD4;LYXOR BRAZIL (IBOVESPA)
LYRUS;FR0010339457;FR0010339457USD4;LYXOR RUSSIA
LYSEL;FR0010378604;FR0010378604EUR4;LYXOR STOXX SELECT DIVIDEND
LYTUR;FR0010326256;FR0010326256EUR4;LYXOR TURKEY
LYUSA;FR0010372193;FR0010372193USD4;LYXOR MSCI USA
LYWLD;FR0010372201;FR0010372201USD4;LYXOR MSCI WORLD
MABI;LU0269999792;LU0269999792USD4;M ACC BRIC C
MAGB;LU0259322260;LU0259322260USD4;M ACC AM G B IND C
MAN;DE0005937007;DE0005937007CHF4;MAN I
MASN;CH0012337421;CH0012337421CHF4;MICRONAS N
MBTN;CH0027700852;CH0027700852CHF4;MEYER BURGER N
MCD;US5801351017;US5801351017CHF4;MC DONALDS
MCHN;CH0039542854;CH0039542854CHF4;MESSE SCHWEIZ N
MDAI;LU0259323235;LU0259323235USD4;M ACC ASIA C
MDJT;LU0269999362;LU0269999362USD4;M ACC DJ TURK TIT20
MDRI;LU0269999958;LU0269999958USD4;M ACC RUSSIA C
MEDEE;CH0026050895;CH0026050895CHF4;BB MEDTECH N 2. LINIE
MEDN;CH0038390016;CH0038390016CHF4;BB MEDTECH N
METN;CH0039821084;CH0039821084CHF4;METALL ZUG AG
MFAI;LU0270000028;LU0270000028USD4;M ACC AFR 40 C
MGT;FR0007075494;FR0007075494EUR4;LYXOR DJ GLOB TIT 50
MIFO;CH0002770102;CH0002770102CHF4;MI-FONDS IMMO
MIKN;CH0003390066;CH0003390066CHF4;MIKRON N
MIV;CH0007291542;CH0007291542CHF4;VONTOBEL INVEST
MMM;US88579Y1010;US88579Y1010CHF4;3M
MMMMN;CH0009115129;CH0009115129CHF4;4M N
MMS;FR0010168773;FR0010168773EUR4;LYXOR MSCI SMALLCAP
MO;US02209S1033;US02209S1033CHF4;ALTRIA GROUP N
MOB;CH0012583404;CH0012583404CHF4;MOBILEZONE I
MOBN;CH0011108872;CH0011108872CHF4;MOBIMO N
MOT;US6200761095;US6200761095CHF4;MOTOROLA INC
MRAI;LU0259321452;LU0259321452USD4;M ACC RICISMA IND C
MRIC;LU0249326488;LU0249326488USD4;M ACC J R II COMM C
MRK;US5893311077;US5893311077CHF4;"MERCK &amp; CO INC"
MRMI;LU0259320728;LU0259320728USD4;M ACC RICISMM IND C
MRO;US5658491064;US5658491064CHF4;MARATHON OIL
MSE;FR0007054358;FR0007054358EUR4;LYXOR DJ EUROSTOXX50
MSEI;LU0259329869;LU0259329869EUR4;M ACC STH-E EU C
MSFT;US5949181045;US5949181045CHF4;MICROSOFT CORP
MSSN;CH0010796842;CH0010796842CHF4;METRAUX N
MUV;DE0008430026;DE0008430026CHF4;MUENCHNER RUECK
NAAN;CH0003977193;CH0003977193CHF4;NEUE AARGAUER BK N
NATN;CH0010811971;CH0010811971CHF4;NATIONALV N
NBEN;CH0005059438;CH0005059438CHF4;NEBAG N
NEC;JP3733000008;JP3733000008CHF4;NEC CORP
NEM;US6516391066;US6516391066CHF4;NEWMONT
NESN;CH0038863350;CH0038863350CHF1;NESTLE N
NESNE;CH0043286878;CH0043286878CHF1;NESTLE N 2.LINIE
NEV;CH0007036830;CH0007036830CHF4;NEW VENTURE I
NEWN;CH0010819867;CH0010819867CHF4;NEW VALUE N
NH;NO0005052605;NO0005052605CHF4;NORSK HYDRO ASA
NOBN;CH0037851646;CH0037851646CHF1;NOBEL BIOCARE N
NOBNE;CH0039781528;CH0039781528CHF1;NOBEL BIOCARE N 2. LINIE
NOKI;FI0009000681;FI0009000681CHF4;NOKIA OYJ
NOVN;CH0012005267;CH0012005267CHF1;NOVARTIS N
NOVNEE;CH0038459415;CH0038459415CHF1;NOVARTIS N 2. LINIE
NWEN;CH0030417312;CH0030417312CHF4;NEWAVE N
NWRN;IT0004147952;IT0004147952CHF4;NEWRON PHARMA N
ODHN;CH0038285679;CH0038285679CHF4;ORASCOM DEVELOPMENT HLD AG N
OERL;CH0000816824;CH0000816824CHF1;OC OERLIKON N
OFN;CH0003420806;CH0003420806CHF4;O FUESSLI N
ORIDN;IL0010837818;IL0010837818CHF4;ORIDION N
OTI;CH0006326851;CH0006326851CHF4;OTI Energy AG
PARG;CH0021783391;CH0021783391CHF4;PARGESA I
PAXN;CH0002178348;CH0002178348CHF4;PAX N
PCG;US69331C1080;US69331C1080CHF4;PGE CORP
PED;CH0002906912;CH0002906912CHF4;PERROT DUVAL I
PEDP;CH0002906938;CH0002906938CHF4;PERROT DUVAL PS
PEHN;CH0006089921;CH0006089921CHF4;PRIVATE EQUITY N
PEL;CH0006328758;CH0006328758CHF4;PELIKAN I
PEP;US7134481081;US7134481081CHF4;PEPSICO
PFBI;CH0013335515;CH0013335515;CH-PFANDBRIEFIND T
PFBI1;CH0013335556;CH0013335556;CH-PFB-INDEX 1 T
PFBI1X;CH0013335937;CH0013335937;CH-PFB-INDEX 1 P
PFBI2;CH0013335606;CH0013335606;CH-PFB-INDEX 2 T
PFBI2X;CH0013335945;CH0013335945;CH-PFB-INDEX 2 P
PFBI3;CH0013335614;CH0013335614;CH-PFB-INDEX 3 T
PFBI3X;CH0013335986;CH0013335986;CH-PFB-INDEX 3 P
PFBI4;CH0013335648;CH0013335648;CH-PFB-INDEX 4 T
PFBI4X;CH0013336026;CH0013336026;CH-PFB-INDEX 4 P
PFBI5;CH0013335655;CH0013335655;CH-PFB-INDEX 5 T
PFBI5X;CH0013336075;CH0013336075;CH-PFB-INDEX 5 P
PFBI6;CH0013335689;CH0013335689;CH-PFB-INDEX 6 T
PFBI6X;CH0013336158;CH0013336158;CH-PFB-INDEX 6 P
PFBI7;CH0013335705;CH0013335705;CH-PFB-INDEX 7 T
PFBI7X;CH0013336190;CH0013336190;CH-PFB-INDEX 7 P
PFBI8;CH0013335713;CH0013335713;CH-PFB-INDEX 8 T
PFBI8X;CH0013336232;CH0013336232;CH-PFB-INDEX 8 P
PFBI9;CH0013335747;CH0013335747;CH-PFB-INDEX 9 T
PFBI9X;CH0013336257;CH0013336257;CH-PFB-INDEX 9 P
PFBIL;CH0013335762;CH0013335762;CH-PFB-INDEX 10 T
PFBILX;CH0013336281;CH0013336281;CH-PFB-INDEX 10 P
PFBIX;CH0013335879;CH0013335879;CH-PFANDBRIEFIND P
PFE;US7170811035;US7170811035CHF4;PFIZER
PG;US7427181091;US7427181091CHF4;"PROCT&amp;GAMB"
PGHN;CH0024608827;CH0024608827CHF4;PARTNERS GROUP N
PHG;NL0000009538;NL0000009538CHF4;PHILIPS ELECTRONICS
PM;CH0002187810;CH0002187810CHF4;PHOENIX I
PME;CH0034377074;CH0034377074CHF4;PHOENIX I 2. LINIE
PMI;US7181721090;US7181721090CHF4;PHILIP MRRS INT-WI
PPHN;CH0027752242;CH0027752242CHF1;PETROPLUS N
PRON;CH0010510862;CH0010510862CHF4;PROGRESSNOW N
PRWN;CH0013283368;CH0013283368CHF4;PRECIOUS WOODS N
PRWNO;CH0042119401;CH0042119401CHF4;PRWNO PRWN C 10/08
PSPN;CH0018294154;CH0018294154CHF4;PSP N
PUBN;CH0004626302;CH0004626302CHF4;PUBLIGROUPE N
PWTN;CH0002168083;CH0002168083CHF4;PANALPINA N
PWTNE;CH0032513365;CH0032513365CHF4;PANALPINA N 2. LINIE
QUAN;CH0005589400;CH0005589400CHF4;QUADRANT N
RAI10D;CH0015416206;CH0015416206;RAIF-REPO BOND BASKET SNB 9.5-10.5 D
RAI10P;CH0015415448;CH0015415448;RAIF-REPO BOND BASKET SNB 9.5-10.5 P
RAI10T;CH0015415653;CH0015415653;RAIF-REPO BOND BASKET SNB 9.5-10.5 T
RAI10Y;CH0015415869;CH0015415869;RAIF-REPO BOND BASKET SNB 9.5-10.5 Y
RAI1D;CH0015415984;CH0015415984;RAIF-REPO BOND BASKET SNB 0.5-1.5 D
RAI1P;CH0015415216;CH0015415216;RAIF-REPO BOND BASKET SNB 0.5-1.5 P
RAI1T;CH0015415521;CH0015415521;RAIF-REPO BOND BASKET SNB 0.5-1.5 T
RAI1Y;CH0015415687;CH0015415687;RAIF-REPO BOND BASKET SNB 0.5-1.5 Y
RAI2D;CH0015415992;CH0015415992;RAIF-REPO BOND BASKET SNB 1.5-2.5 D
RAI2P;CH0015415232;CH0015415232;RAIF-REPO BOND BASKET SNB 1.5-2.5 P
RAI2T;CH0015415539;CH0015415539;RAIF-REPO BOND BASKET SNB 1.5-2.5 T
RAI2Y;CH0015415703;CH0015415703;RAIF-REPO BOND BASKET SNB 1.5-2.5 Y
RAI3D;CH0015416008;CH0015416008;RAIF-REPO BOND BASKETSNB 2.5-3.5 D
RAI3P;CH0015415265;CH0015415265;RAIF-REPO BOND BASKET SNB 2.5-3.5 P
RAI3T;CH0015415554;CH0015415554;RAIF-REPO BOND BASKET SNB 2.5-3.5 T
RAI3Y;CH0015415737;CH0015415737;RAIF-REPO BOND BASKETSNB 2.5-3.5 Y
RAI4D;CH0015416032;CH0015416032;RAIF-REPO BOND BASKET SNB 3.5-4.5 D
RAI4P;CH0015415281;CH0015415281;RAIF-REPO BOND BASKET SNB 3.5-4.5 P
RAI4T;CH0015415562;CH0015415562;RAIF-REPO BOND BASKET SNB 3.5-4.5 T
RAI4Y;CH0015415745;CH0015415745;RAIF-REPO BOND BASKET SNB 3.5-4.5 Y
RAI5D;CH0015416073;CH0015416073;RAIF-REPO BOND BASKET SNB 4.5-5.5 D
RAI5P;CH0015415315;CH0015415315;RAIF-REPO BOND BASKET SNB 4.5-5.5 P
RAI5T;CH0015415588;CH0015415588;RAIF-REPO BOND BASKET SNB 4.5-5.5 T
RAI5Y;CH0015415760;CH0015415760;RAIF-REPO BOND BASKET SNB 4.5-5.5 Y
RAI6D;CH0015416099;CH0015416099;RAIF-REPO BOND BASKET SNB 5.5-6.5 D
RAI6P;CH0015415331;CH0015415331;RAIF-REPO BOND BASKET SNB 5.5-6.5 P
RAI6T;CH0015415596;CH0015415596;RAIF-REPO BOND BASKET SNB 5.5-6.5 T
RAI6Y;CH0015415778;CH0015415778;RAIF-REPO BOND BASKET SNB 5.5-6.5 Y
RAI7D;CH0015416123;CH0015416123;RAIF-REPO BOND BASKET SNB 6.5-7.5 D
RAI7P;CH0015415364;CH0015415364;RAIF-REPO BOND BASKET SNB 6.5-7.5 P
RAI7T;CH0015415612;CH0015415612;RAIF-REPO BOND BASKET SNB 6.5-7.5 T
RAI7Y;CH0015415794;CH0015415794;RAIF-REPO BOND BASKET SNB 6.5-7.5 Y
RAI8D;CH0015416156;CH0015416156;RAIF-REPO BOND BASKET SNB 7.5-8.5 D
RAI8P;CH0015415380;CH0015415380;RAIF-REPO BOND BASKET SNB 7.5-8.5 P
